标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
万科玉玺滨江急售！诚心卖！正规通透四房两厅两卫，拎包入住看江,4,2,3,220.32㎡,南北,高层(共52层),2021年建造,伟鹏万科御玺滨江,江岸,二七路,解放大道1568号,46982元/㎡,1035.1万
九龙涺 南北通透 87平 电梯房 房东急置换 诚意买房,2,2,1,87.55㎡,南北,中层(共31层),2010年建造,九龙涺,武昌,武泰闸,白沙洲大道555号,19190元/㎡,168万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,104.63㎡,南,低层(共33层),2016年建造,玉带家园,硚口,武胜路,京汉大道370-374号,18924元/㎡,198万
白沙六路地铁口，中高楼层，次新房，看房方便,2,2,1,81.06㎡,南北,高层(共33层),2020年建造,胜利丰园,洪山,白沙洲,烽胜路88号,10980元/㎡,89万
光谷核心地段 南北通透 满二 保利华都 采光好 业主急售,2,2,1,91.55㎡,南北,高层(共34层),2008年建造,保利华都,洪山,卓刀泉,虎泉街299号,27090元/㎡,248万
光谷金融港  大三房两卫 业主婚房装修   保养很好,3,2,2,104.69㎡,南,低层(共35层),2017年建造,旭辉御府,江夏,东湖高新,高新四路,16812元/㎡,176万
正南 3室2厅 精装修,3,2,2,111.25㎡,南,高层(共18层),2012年建造,珩生领袖城,黄陂,盘龙城,盘龙大道,8000元/㎡,89万
"ONE39三房钥匙看房琨瑜府泛悦城旁,诚心出售南北通透",3,2,1,101.5㎡,南北,低层(共45层),2018年建造,光谷ONE39,洪山,光谷广场,高新大道229号,18720元/㎡,190万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,118.77㎡,南北,低层(共32层),2016年建造,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,8420元/㎡,100万
正南 3室2厅 精装修,3,2,1,91.39㎡,南,高层(共13层),2017年建造,新力帝泊湾,黄陂,盘龙城,兴龙路,9520元/㎡,87万
  房源！  维护！谈签找我佣金可少烽云边户已做三房价格满二,3,2,1,89.52㎡,南北,中层(共30层),2017年建造,烽云慧城,洪山,光谷东,佛祖岭东街1号,15975元/㎡,143万
盘龙城中百仓储，凤凰层南北通透，精装三房，证满五  ,3,2,2,111.9㎡,南北,高层(共11层),2004年建造,名流人和天地怡和园,黄陂,盘龙城,巨龙大道88号,7686元/㎡,86万
王钦紫薇花园精装3房，户型方正公摊低，地铁  江滩在门口!,3,2,1,109.64㎡,南,中层(共6层),2006年建造,紫薇花园,硚口,古田,古田四路9号,17786元/㎡,195万
满五   南北通透 3室1厅 精装修,3,1,2,107.86㎡,南北,高层(共6层),2002年建造,钢都花园124街坊,青山,余家头,友谊大道,15762元/㎡,170万
正南 2室1厅 精装修,2,1,1,77.54㎡,南,低层(共10层),2017年建造,恒大龙城(二期),黄陂,盘龙城,航城东路19号,8512元/㎡,66万
万科金色城市17地块 南北通透随时看房 带储物间 看房方便,2,2,1,87.12㎡,南北,高层(共34层),2013年建造,万科金色城市17地块,洪山,白沙洲,江州路,15496元/㎡,135万
华润葛洲坝琨瑜府 毛坯房 随时看房,3,2,2,117㎡,南北,高层(共57层),2019年建造,琨瑜府(三期),洪山,关山,光谷创业街,25214元/㎡,295万
必看好房香颂三期全屋精装带地暖双卫阳台已封即将满二....,3,2,2,106.49㎡,南北,低层(共25层),2020年建造,保利香颂,汉阳,升官渡,四新大道,17843元/㎡,190万
电梯房 王家湾中央生活区 3室2厅 93平 采光好 周边商圈,3,2,1,93.42㎡,南北,低层(共30层),2015年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,15522元/㎡,145万
正南 3室2厅 精装修,3,2,2,129.96㎡,南,高层(共32层),2021年建造,汇悦天地(三期),江岸,后湖,和谐大道596号,18852元/㎡,245万
南北通透 3室2厅 精装修,3,2,1,94.74㎡,南北,高层(共45层),2015年建造,国际百纳,江岸,后湖,中一路36号,21955元/㎡,208万
满五   正南 3室2厅,3,2,1,99.67㎡,南,高层(共31层),2007年建造,领秀城(一期),洪山,卓刀泉,雄楚大道489号,23879元/㎡,238万
恒大城 老证 单价低 总价低 税费低 东南看湖,2,2,1,84㎡,南北,高层(共33层),2015年建造,武汉恒大城(二期),东西湖,金银湖,柏环一路,9286元/㎡,78万
万科金域蓝湾精装 老证 南北通透 产权清晰,3,2,2,104.93㎡,南,低层(共18层),2014年建造,万科金域蓝湾,沌口开发区,江汉大学,三角湖路8号,17631元/㎡,185万
万科汉口传奇悦庭 精装三房 采光充足 房子诚心出售,3,2,1,88.43㎡,南,低层(共40层),2017年建造,万科汉口传奇悦庭,江汉,汉口火车站,新华路699号,22617元/㎡,200万
坐标城 精装二室 小区性价比  ,2,2,1,93.5㎡,南,高层(共7层),2005年建造,光谷坐标城,洪山,光谷软件园,关山大道519号,22140元/㎡,207万
急售 中建品质  好楼层 三开间朝南 大阳台可看小区花园,3,2,2,113.15㎡,南,低层(共31层),2022年建造,中建星光城(二期),洪山,九峰山森林公园,光谷三路59号,18984元/㎡,214.8万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,89.46㎡,南,低层(共11层),2004年建造,名流人和天地怡和园,黄陂,盘龙城,巨龙大道88号,7266元/㎡,65万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,116.02㎡,南,低层(共6层),2000年建造,常青花园四区,东西湖,常青花园,学府北路65号,15084元/㎡,175万
江汉大学旁 地铁口 115万买湖景毛坯大三房 超高性价比,3,2,2,124.11㎡,南北,高层(共11层),2005年建造,江大园,沌口开发区,江汉大学,博学路1号,8461元/㎡,105万
精装 拎包住 下楼就是   四期 送车位 家电 老证,2,2,1,91.56㎡,南,中层(共22层),2005年建造,新华家园,江汉,杨汊湖,姑嫂树路11号,20206元/㎡,185万
次新房轻轨旁电梯高层非顶楼挂头户型全明通透两梯四户重新精装,3,2,2,115.44㎡,南北,高层(共33层),2019年建造,幸福湾星澜,江岸,百步亭,解放大道2901号,16113元/㎡,186万
正南 3室2厅 精装修,3,2,2,126.31㎡,南,低层(共47层),2021年建造,东原启城(三四期),洪山,白沙洲,烽胜路,14172元/㎡,179万
房源采光好，南北通透，业主诚意出,3,2,1,95.04㎡,南,高层(共32层),2017年建造,幸福湾星澜,江岸,百步亭,解放大道2901号,15257元/㎡,145万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,123.33㎡,南,高层(共8层),1997年建造,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,16055元/㎡,198万
万科汉口传奇精装三房俩卫 老证高层视野日照好 户型经典,3,2,2,96.09㎡,南,高层(共48层),2016年建造,万科汉口传奇,江汉,汉口火车站,常青一路218号,23416元/㎡,225万
宁康园 凯旋苑 装修三室两厅一卫  南北通透 老证 上神龙,3,2,1,106.5㎡,南北,低层(共7层),2008年建造,宁康园,沌口开发区,体育中心,泰康道69号,16245元/㎡,173万
122平190万急售 融侨锦城 精装好三房 南北通透老证税少,3,2,2,121.66㎡,南北,低层(共11层),2008年建造,融侨锦城,硚口,古田,解放大道66号,15618元/㎡,190万
小高层，一线湖景无遮挡，小区低密度，人车分流,3,2,2,113㎡,南,中层(共18层),2018年建造,钰龙旭辉半岛一期,汉阳,七里庙,麒麟路1号,18585元/㎡,210万
正南 2室2厅 精装修,2,2,1,84.28㎡,南,低层(共40层),2016年建造,印力中心,青山,冶金大道,"冶金大道,近和平大道",20053元/㎡,169万
急降15万 宝业光谷丽都 精装大两房 全房朝南 满五年,2,2,1,84.99㎡,南北,中层(共16层),2016年建造,宝业光谷丽都,洪山,光谷软件园,龙城路9号,16097元/㎡,136.8万
宝安璞园复式，电梯精装修中层三房，看房方便有钥匙，价格可谈,3,1,1,74.34㎡,南北,中层(共22层),2010年建造,宝安璞园,洪山,新南湖,文治街46号,19102元/㎡,142万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,144.67㎡,南北,高层(共50层),2019年建造,首地云梦台,江岸,后湖,华岭路66号,17419元/㎡,252万
宁寄人篱下不可无家可归..,2,2,1,91.84㎡,南,中层(共32层),2014年建造,汉北广场,黄陂,滠口,汉口北大道,8385元/㎡,77万
特赞好房 格局周正 精致3房 居家装修随时看,3,2,1,104.72㎡,南北,高层(共11层),2013年建造,现代森林小镇,江夏,东湖高新,光谷大道120号,25784元/㎡,270万
古田四路轻轨 联发九都府 精装通透三房双阳台 老证少有的户型,3,2,2,134.7㎡,南北,低层(共33层),2013年建造,联发九都府,硚口,古田,解放大道237号,18189元/㎡,245万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,120.15㎡,南,高层(共32层),2014年建造,城投瀚城璞岸,洪山,卓刀泉,雄楚大道450号,21474元/㎡,258万
保利香颂 房子自住大三室 二次装修家具家电全送 性价比超高,3,2,2,124.11㎡,南北,低层(共25层),2020年建造,保利香颂,汉阳,升官渡,四新大道,18371元/㎡,228万
诚售 洺悦府 豪华装修未住过 东边户 老证税少 随时看,3,2,2,135.53㎡,南北,低层(共44层),2019年建造,洺悦府,硚口,古田,古田五路,23243元/㎡,315万
保利五月花，通透四房，业主急售，满二年，随时看房,4,2,2,120.05㎡,南北,低层(共24层),2014年建造,保利海上五月花(一期),江夏,庙山,江夏大道31号,9896元/㎡,118.8万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,97.55㎡,南,低层(共34层),2019年建造,加州橘郡,江夏,庙山,江夏大道49附2号,10047元/㎡,98万
满二   正南 2室2厅 精装修,2,2,1,87.06㎡,南,高层(共33层),2015年建造,光谷自由城,洪山,光谷软件园,水蓝路11号,15737元/㎡,137万
（价格冰点）（必看好房）万达旁纽宾凯蜜城 港口村站在楼下,3,2,1,81.1㎡,南,高层(共34层),2016年建造,纽宾凯国际社区蜜城,汉阳,四新,芳草路,15783元/㎡,128万
联投金色港湾 精装3房 老证 高层采光通风好 视野开阔,3,2,1,95.72㎡,南北,高层(共33层),2017年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,15149元/㎡,145万
古田二路轻轨 凯德旁 一线江景大三房 0遮挡 采光刺眼,3,2,2,102.33㎡,南北,中层(共46层),2017年建造,江山樾,硚口,古田,沿河大道626号,15148元/㎡,155万
南北通透 3室2厅 精装修,3,2,1,80.67㎡,南北,高层(共7层),2002年建造,江大路工科院小区,江岸,竹叶山花桥,江大路28号,15620元/㎡,126万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,90.13㎡,南,中层(共32层),1990年建造,荷风雅居,蔡甸,蔡甸城区,工农路附87-13号,6658元/㎡,60万
光谷核心 保利开发 保利华都 精装三房 满五   业主急售,3,2,2,113㎡,南北,高层(共18层),2008年建造,保利华都,洪山,卓刀泉,虎泉街299号,30531元/㎡,345万
正地铁口单价8千 精装三房两卫 双阳台 证满无贷款房东急卖,3,2,2,127.76㎡,南,低层(共18层),2012年建造,歌林花园,黄陂,盘龙城,巨龙大道159号,8454元/㎡,108万
汉北玺园 电梯房 满二  住房 97平 3室2厅 房东急置换,2,2,1,81.54㎡,南,低层(共32层),2017年建造,汉北玺园,黄陂,武湖,汉口北大道,7972元/㎡,65万
朝南 星悦城一期 电梯房 2室2厅 精装修 80平 房东急置,2,2,1,80.31㎡,南,高层(共34层),2013年建造,星悦城一期,江岸,后湖,塔子湖西路1号,17682元/㎡,142万
二环内蔡家田 博雅旁阳光三房 低楼层婚房精装 立买即入住,3,2,2,84.54㎡,南北,中层(共8层),1998年建造,蔡家田B区望才里社区,江岸,竹叶山花桥,望才里1-15号,16324元/㎡,138万
（捡漏的房子）后湖大平层4房3阳台 送个阳光房 出价就可以卖,4,2,2,162.96㎡,南,高层(共46层),2016年建造,百步亭金桥汇(二期),江岸,后湖,华隆路79号,16446元/㎡,268万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,137.83㎡,南,中层(共32层),2020年建造,保利江锦,武昌,徐东,临江大道,29457元/㎡,406万
好房！世纪江尚豪装大3房 楼层好！ 阳光好 ！税少！拎包入住,3,2,2,158.79㎡,南北,中层(共57层),2016年建造,世纪江尚,江汉,前进/江汉,花楼街122号,27395元/㎡,435万
东原晴天见南北通透大三房 容积率低 车位充足 小区环境好,3,2,2,115.33㎡,南北,高层(共42层),2017年建造,东原晴天见,洪山,新南湖,南湖小路28号,18209元/㎡,210万
湖  学旁长鑫家园捡漏精装两房,2,2,1,93.59㎡,东南,低层(共21层),2013年建造,长鑫家园,武昌,徐东,秦简街12号,17951元/㎡,168万
正南 4室2厅 企业力荐好房诚意出售,4,2,1,196.23㎡,南,共1层,2008年建造,中国院子,黄陂,盘龙城,盘龙大道特8号,15238元/㎡,299万
  位置，小区正中央，中间楼层，采光非常好，业主诚心卖房！！,3,2,1,95.9㎡,南,中层(共46层),2017年建造,幸福湾星澜,江岸,百步亭,解放大道2901号,15642元/㎡,150万
满五   南北通透 3室2厅,3,2,1,96.85㎡,南北,低层(共33层),2010年建造,领秀城(二期),洪山,卓刀泉,雄楚大道489号,23749元/㎡,230万
出门地铁口  可正常贷款铂金楼层  洪山实小华师附中,2,2,1,80.3㎡,南,高层(共33层),2018年建造,胜利丰园,洪山,白沙洲,烽胜路88号,11208元/㎡,90万
不临二环 楼下一初 中城悦城 精装三室 高层南北通透 无遮挡,3,2,1,98.9㎡,南北,高层(共48层),2017年建造,中城悦城(一期),江汉,王家墩CBD,发展大道66号,24267元/㎡,240万
正南 2室1厅 企业力荐好房诚意出售,2,1,1,76.75㎡,南,低层(共57层),2020年建造,招商一江璟城(北区),青山,红钢城,建设六路5号,21108元/㎡,162万
地铁7号线，常青树旁，品质小区，南北通透！,3,2,1,109.25㎡,南,低层(共33层),2016年建造,恒达盘龙湾荷苑,黄陂,盘龙城,盘龙大道48号,8055元/㎡,88万
必卖好房 小三房的价格买大三房 诚心出售随时可看,3,2,1,90㎡,南,高层(共34层),2016年建造,纽宾凯国际社区蜜城,汉阳,四新,芳草路,16112元/㎡,145万
物业自营单元，万科品质小区精装修三房业主诚心急售可以随时看房,3,2,1,93.94㎡,南北,低层(共34层),2014年建造,万科金色城市23地块,洪山,白沙洲,长征二路,13307元/㎡,125万
保利花园(东区)光谷核心地段，业主急售，看房方便，价格可谈！,3,2,2,122.25㎡,南北,中层(共12层),2011年建造,保利花园(东区),洪山,关山,光谷大道219号,18405元/㎡,225万
保利心语二期 全朝南的三房两卫 带大露台养花养草 阳光好,3,2,2,118.77㎡,南,低层(共17层),2008年建造,保利心语(二期),洪山,新南湖,野芷湖西路3号,17261元/㎡,205万
天汇龙城龙湖苑 南北通透   诚心出售 价格可谈,3,2,2,114.61㎡,南北,高层(共33层),2019年建造,天汇龙城龙湖苑,黄陂,盘龙城,腾龙大道,7940元/㎡,91万
118平 汉口春天 满二 电梯房 古田三路轻轨旁 采光好,3,2,1,118.36㎡,南北,高层(共11层),2007年建造,汉口春天,硚口,古田,解放大道109号,14194元/㎡,168万
性价比非常高的温馨三房 一个让您耳目一新的房子 随时看房哦~,3,2,1,88.81㎡,南北,低层(共18层),2013年建造,沿海赛洛城(二期),东西湖,吴家山,张柏路,9459元/㎡,84万
经典中建开元公馆3室2厅2卫1阳台！精装修！两证齐全！,3,2,2,107.51㎡,南北,低层(共34层),2014年建造,中建开元公馆,青山,建设二路,建设二路11号,23440元/㎡,252万
单身小姐姐得小资生活从这套复试公寓开始，38万就能拥有,1,1,1,31.51㎡,北,低层(共32层),2020年建造,华宇旭辉星空,江岸,后湖,后湖大道116号,12060元/㎡,38万
锦园带装俩房可改三房  东向正对小区绿化花园,2,2,1,81.81㎡,南,低层(共42层),2019年建造,万科锦园,江汉,汉口火车站,常青一路157-7号,15769元/㎡,129万
两次降价5万急售 全新装修未入住 带暖气大两房 满五  ,2,2,1,84.25㎡,南北,低层(共34层),2016年建造,万科城花璟苑,洪山,光谷软件园,关南园路,24926元/㎡,210万
地铁口，三房二卫，诚心急售，证满无贷，有钥匙,3,2,2,104.65㎡,南,高层(共33层),2016年建造,平安光谷春天,江夏,金融港,高新六路15号,20832元/㎡,218万
正南 3室2厅 精装修,3,2,1,94.52㎡,南,中层(共32层),2016年建造,碧桂园生态城左岸,洪山,光谷东,夏芒路28号,14601元/㎡,138万
正南 3室2厅 企业力荐好房诚意出售,3,2,2,123.18㎡,南,低层(共33层),2017年建造,光谷悦城,江夏,金融港,光谷一路,18348元/㎡,226万
欧洲风情小区，老证带车位，一线看湖，南北通透，业主急卖随时看,4,2,2,141.3㎡,南,中层(共44层),2019年建造,招商公园1872(B3-2地块),汉阳,四新,凤举路,18401元/㎡,260万
（业主亏本卖）汉广旁地铁口大4房 边户南北通透 比龙湖江印香,4,2,2,137.74㎡,南,高层(共33层),2022年建造,汉悦府坤璟,江岸,百步亭,后湖大道188号,25120元/㎡,346万
正南 3室2厅 精装修,3,2,2,138.53㎡,南,高层(共24层),2010年建造,锦绣龙城(G区),洪山,光谷软件园,龙城路1号,15737元/㎡,218万
77平 保利新武昌 精装修 2室2厅 看房方便,2,2,1,77.41㎡,南北,中层(共34层),2018年建造,保利新武昌,洪山,白沙洲,张家湾路8号,18732元/㎡,145万
